date,horizon,ic
2007-08-01,10,0.008146539708696601
2007-08-02,10,-0.11321757048490719
2007-08-03,10,-0.15310083909372246
2007-08-06,10,-0.14603871927649806
2007-08-07,10,-0.17187554913442052
2007-08-08,10,-0.10975962003889676
2007-08-09,10,-0.1508590894277507
2007-08-10,10,-0.015981836473813675
2007-08-13,10,0.009281551056428014
2007-08-14,10,0.021696252612074026
2007-08-15,10,0.07714149515584243
2007-08-16,10,0.1029304789587005
2007-08-17,10,0.10162744608517531
2007-08-20,10,0.1057971113014594
2007-08-21,10,0.14694099835373092
2007-08-22,10,0.15134822301413056
2007-08-23,10,0.1323286627379442
2007-08-24,10,0.166279637386189
2007-08-27,10,0.19818236720874066
2007-08-28,10,0.2016907380650247
2007-08-29,10,0.19056902224217137
2007-08-30,10,0.16795535271650344
2007-08-31,10,0.17837586738332117
2007-09-04,10,0.187685640900275
2007-09-05,10,0.1373699593557085
2007-09-06,10,0.17659928456027715
2007-09-07,10,0.194823700676212
2007-09-10,10,0.17396276530227062
2007-09-11,10,0.2016385733922942
2007-09-12,10,0.20564424154014432
2007-09-13,10,0.21897617146658913
2007-09-14,10,0.221689945397482
2007-09-17,10,0.1707381976968348
2007-09-18,10,0.14957210884004168
2007-09-19,10,0.12904581095074869
2007-09-20,10,0.09654650799998071
2007-09-21,10,0.05215078368746796
2007-09-24,10,0.04752657113954351
2007-09-25,10,-0.00524626528533081
2007-09-26,10,0.0064729866664455125
2007-09-27,10,-0.037250892057639144
2007-09-28,10,0.027456887463725054
2007-10-01,10,0.06781377980367205
2007-10-02,10,0.15036371694794892
2007-10-03,10,0.2033229070005422
2007-10-04,10,0.22717270986070145
2007-10-05,10,0.20035937236221363
2007-10-08,10,0.17534331655078794
2007-10-09,10,0.22261811167803913
2007-10-10,10,0.17408278036975286
2007-10-11,10,0.21488685738734045
2007-10-12,10,0.1845315589928329
2007-10-15,10,0.18044065833026338
2007-10-16,10,0.10120340016592753
2007-10-17,10,0.10301163298507002
2007-10-18,10,0.06659867166060043
